,p_value,batch_size,number_of_epochs,act,act_fin,train_score,val_score
180,0.3,400,3900,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
181,0.3,400,3950,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
182,0.3,400,4000,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
183,0.3,400,4050,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
184,0.3,400,4100,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
185,0.3,400,4150,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
186,0.3,400,4200,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
187,0.3,400,4250,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
188,0.3,400,4300,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
189,0.3,400,4350,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
190,0.3,400,4400,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
191,0.3,400,4450,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
192,0.3,400,4500,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
193,0.3,400,4550,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
194,0.3,400,4600,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
195,0.3,400,4650,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
196,0.3,400,4700,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
197,0.3,400,4750,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
198,0.3,400,4800,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
199,0.3,400,4850,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
200,0.3,400,4900,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
201,0.3,400,4950,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
202,0.3,400,4999,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
203,0.3,400,0,Tanh(),Sigmoid(),0.1420637240572932,0.14922813036020582
204,0.3,400,50,Tanh(),Sigmoid(),0.35041839824520843,0.3384393820371825
205,0.3,400,100,Tanh(),Sigmoid(),0.34361951330840124,0.3409272152319881
206,0.3,400,150,Tanh(),Sigmoid(),0.34832458191766313,0.33134796622424845
207,0.3,400,200,Tanh(),Sigmoid(),0.3476588775978794,0.3413527548147268
208,0.3,400,250,Tanh(),Sigmoid(),0.3471678239961478,0.3278474399164054
209,0.3,400,300,Tanh(),Sigmoid(),0.341552286798651,0.3327180925896303
210,0.3,400,350,Tanh(),Sigmoid(),0.3497288211732819,0.3285097854761856
211,0.3,400,400,Tanh(),Sigmoid(),0.34695982847202556,0.32535847489780867
212,0.3,400,450,Tanh(),Sigmoid(),0.34371261455464763,0.3285097854761856
213,0.3,400,500,Tanh(),Sigmoid(),0.34863452875797,0.3397105141435368
214,0.3,400,550,Tanh(),Sigmoid(),0.34430096238957825,0.3297950103289369
215,0.3,400,600,Tanh(),Sigmoid(),0.3401687577958764,0.3384393820371825
216,0.3,400,650,Tanh(),Sigmoid(),0.3479441572993139,0.3371481827802144
217,0.3,400,700,Tanh(),Sigmoid(),0.34863452875797,0.33483409241441014
218,0.3,400,750,Tanh(),Sigmoid(),0.35048027121197856,0.3276020181263323
219,0.3,400,800,Tanh(),Sigmoid(),0.3512937800666225,0.3424897786492348
220,0.3,400,850,Tanh(),Sigmoid(),0.34736384364055195,0.3352859275112199
221,0.3,400,900,Tanh(),Sigmoid(),0.34957018097252196,0.3339338060691417
222,0.3,400,950,Tanh(),Sigmoid(),0.3408320559775369,0.3359644956847846
223,0.3,400,1000,Tanh(),Sigmoid(),0.35563761317152215,0.3429582561711807
224,0.3,400,1050,Tanh(),Sigmoid(),0.35289352739745805,0.33776472660105583
225,0.3,400,1100,Tanh(),Sigmoid(),0.3499992468766563,0.33029484409558846
226,0.3,400,1150,Tanh(),Sigmoid(),0.3475397647120948,0.3389131736188766
227,0.3,400,1200,Tanh(),Sigmoid(),0.358099628035746,0.3400258749160703
228,0.3,400,1250,Tanh(),Sigmoid(),0.3455890485474231,0.33842480046468604
229,0.3,400,1300,Tanh(),Sigmoid(),0.3535370908430375,0.3400258749160703
230,0.3,400,1350,Tanh(),Sigmoid(),0.34991281951327846,0.3366315239709369
231,0.3,400,1400,Tanh(),Sigmoid(),0.34911913332512157,0.3501350707134912
232,0.3,400,1450,Tanh(),Sigmoid(),0.355551364968988,0.3359644956847846
233,0.3,400,1500,Tanh(),Sigmoid(),0.3528568916768996,0.35405788468253807
234,0.3,400,1550,Tanh(),Sigmoid(),0.3527108220824203,0.3426339285714286
235,0.3,400,1600,Tanh(),Sigmoid(),0.3588724798867974,0.344087254147356
236,0.3,400,1650,Tanh(),Sigmoid(),0.35956559071935223,0.3423721856207541
237,0.3,400,1700,Tanh(),Sigmoid(),0.35367376321752264,0.34565716158636517
238,0.3,400,1750,Tanh(),Sigmoid(),0.34978929277709764,0.33703977039770394
239,0.3,400,1800,Tanh(),Sigmoid(),0.35557604254256303,0.34059873949579833
240,0.3,400,1850,Tanh(),Sigmoid(),0.3496833460955594,0.3400680037451338
241,0.3,400,1900,Tanh(),Sigmoid(),0.3572537207654146,0.34733023834426635
242,0.3,400,1950,Tanh(),Sigmoid(),0.35828752500784744,0.34059873949579833
243,0.3,400,2000,Tanh(),Sigmoid(),0.35485952531785436,0.3449244689446981
244,0.3,400,2050,Tanh(),Sigmoid(),0.3601309971388712,0.3460670586365803
245,0.3,400,2100,Tanh(),Sigmoid(),0.35858355987284274,0.35343947168269757
246,0.3,400,2150,Tanh(),Sigmoid(),0.3515955438066465,0.35494090635930786
247,0.3,400,2200,Tanh(),Sigmoid(),0.3665136379108763,0.3403361861954313
248,0.3,400,2250,Tanh(),Sigmoid(),0.3496827753930919,0.3514030605698872
249,0.3,400,2300,Tanh(),Sigmoid(),0.3561000365565782,0.3350061500615006
250,0.3,400,2350,Tanh(),Sigmoid(),0.3647504726184101,0.3383001867701086
251,0.3,400,2400,Tanh(),Sigmoid(),0.3588624568782909,0.3320810057154101
252,0.3,400,2450,Tanh(),Sigmoid(),0.35588913781890846,0.346958865003876
253,0.3,400,2500,Tanh(),Sigmoid(),0.3697783208308997,0.339811537539743
254,0.3,400,2550,Tanh(),Sigmoid(),0.3661851501992247,0.3496283300244702
255,0.3,400,2600,Tanh(),Sigmoid(),0.36441343127761305,0.33882128076716417
256,0.3,400,2650,Tanh(),Sigmoid(),0.36201760050190457,0.339319892946871
257,0.3,400,2700,Tanh(),Sigmoid(),0.3604192307218579,0.3435215537805685
258,0.3,400,2750,Tanh(),Sigmoid(),0.3610367286746422,0.33703977039770394
259,0.3,400,2800,Tanh(),Sigmoid(),0.35517363571934796,0.34924149241492414
260,0.3,400,2850,Tanh(),Sigmoid(),0.3584058143634856,0.34899326106305395
261,0.3,400,2900,Tanh(),Sigmoid(),0.367371195605316,0.3494266201219537
262,0.3,400,2950,Tanh(),Sigmoid(),0.36102076068181077,0.3433083751701226
263,0.3,400,3000,Tanh(),Sigmoid(),0.3669009951559094,0.35322089675030854
264,0.3,400,3050,Tanh(),Sigmoid(),0.3688318702746175,0.35320274525436246
265,0.3,400,3100,Tanh(),Sigmoid(),0.359962654958696,0.3327180925896303
266,0.3,400,3150,Tanh(),Sigmoid(),0.3609891021085051,0.34793861167433193
267,0.3,400,3200,Tanh(),Sigmoid(),0.36819072058267877,0.3383001867701086
268,0.3,400,3250,Tanh(),Sigmoid(),0.3731326265404794,0.35234393876302544
269,0.3,400,3300,Tanh(),Sigmoid(),0.36746897565792885,0.3594611208397258
270,0.3,400,3350,Tanh(),Sigmoid(),0.3722820275183575,0.3540708504360154
271,0.3,400,3400,Tanh(),Sigmoid(),0.37256433483310003,0.3418318509541318
272,0.3,400,3450,Tanh(),Sigmoid(),0.3700203341795619,0.3491155588104722
273,0.3,400,3500,Tanh(),Sigmoid(),0.36777737702781754,0.3602030891976988
