,p_value,batch_size,number_of_epochs,train_score,val_score
230,0.3,600.0,270.0,0.7339109804174825,0.7293217463113142
231,0.3,600.0,280.0,0.7386525634025479,0.7346218446478868
232,0.3,600.0,290.0,0.7432438978712338,0.7437845296002817
233,0.3,600.0,300.0,0.7477121242326752,0.7482781431913841
234,0.3,600.0,310.0,0.7531272047532133,0.7537620049860877
235,0.3,600.0,320.0,0.7542733632690541,0.7557793604933623
236,0.3,600.0,330.0,0.7567305701223314,0.7597956900392091
237,0.3,600.0,340.0,0.7572574285324953,0.7593649976086236
238,0.3,600.0,350.0,0.758772041868971,0.7600095587356733
239,0.3,600.0,360.0,0.7609270896184244,0.7600095587356733
240,0.3,600.0,370.0,0.7609270896184244,0.7600095587356733
241,0.3,600.0,380.0,0.7609270896184244,0.7600095587356733
242,0.3,600.0,390.0,0.7609270896184244,0.7600095587356733
243,0.3,600.0,400.0,0.7609270896184244,0.7600095587356733
244,0.3,600.0,410.0,0.7609270896184244,0.7600095587356733
245,0.3,600.0,420.0,0.7609270896184244,0.7600095587356733
246,0.3,600.0,430.0,0.7609270896184244,0.7600095587356733
247,0.3,600.0,440.0,0.7609270896184244,0.7600095587356733
248,0.3,600.0,450.0,0.7609270896184244,0.7600095587356733
249,0.3,600.0,460.0,0.7609270896184244,0.7600095587356733
250,0.3,600.0,470.0,0.7609270896184244,0.7600095587356733
251,0.3,600.0,480.0,0.7609270896184244,0.7600095587356733
252,0.3,600.0,490.0,0.7609270896184244,0.7600095587356733
253,0.3,600.0,500.0,0.7609270896184244,0.7600095587356733
254,0.3,600.0,510.0,0.7609270896184244,0.7600095587356733
255,0.3,600.0,520.0,0.7609270896184244,0.7600095587356733
256,0.3,600.0,530.0,0.7609270896184244,0.7600095587356733
257,0.3,600.0,540.0,0.7609270896184244,0.7600095587356733
258,0.3,600.0,550.0,0.7609270896184244,0.7600095587356733
259,0.3,600.0,560.0,0.7609270896184244,0.7600095587356733
260,0.3,600.0,570.0,0.7609270896184244,0.7600095587356733
261,0.3,600.0,580.0,0.7609270896184244,0.7600095587356733
262,0.3,600.0,590.0,0.7609270896184244,0.7600095587356733
263,0.3,600.0,600.0,0.7609270896184244,0.7600095587356733
264,0.3,600.0,610.0,0.7609270896184244,0.7600095587356733
265,0.3,600.0,620.0,0.7609270896184244,0.7600095587356733
266,0.3,600.0,630.0,0.7609270896184244,0.7600095587356733
267,0.3,600.0,640.0,0.7609270896184244,0.7600095587356733
268,0.3,600.0,650.0,0.7609270896184244,0.7600095587356733
269,0.3,600.0,660.0,0.7609270896184244,0.7600095587356733
270,0.3,600.0,670.0,0.7609270896184244,0.7600095587356733
271,0.3,600.0,680.0,0.7609270896184244,0.7600095587356733
272,0.3,600.0,690.0,0.7609270896184244,0.7600095587356733
273,0.3,600.0,700.0,0.7609270896184244,0.7600095587356733
274,0.3,600.0,710.0,0.7609270896184244,0.7600095587356733
275,0.3,600.0,720.0,0.7609270896184244,0.7600095587356733
276,0.3,600.0,730.0,0.7609270896184244,0.7600095587356733
277,0.3,600.0,740.0,0.7609270896184244,0.7600095587356733
278,0.3,600.0,750.0,0.7609270896184244,0.7600095587356733
279,0.3,600.0,760.0,0.7609270896184244,0.7600095587356733
280,0.3,600.0,770.0,0.7609270896184244,0.7600095587356733
281,0.3,600.0,780.0,0.7609270896184244,0.7600095587356733
282,0.3,600.0,790.0,0.7609270896184244,0.7600095587356733
283,0.3,600.0,800.0,0.7609270896184244,0.7600095587356733
284,0.3,600.0,810.0,0.7609270896184244,0.7600095587356733
285,0.3,600.0,820.0,0.7609270896184244,0.7600095587356733
286,0.3,600.0,830.0,0.7609270896184244,0.7600095587356733
287,0.3,600.0,840.0,0.7609270896184244,0.7600095587356733
288,0.3,600.0,850.0,0.7609270896184244,0.7600095587356733
289,0.3,600.0,860.0,0.7609270896184244,0.7600095587356733
290,0.3,600.0,870.0,0.7609270896184244,0.7600095587356733
291,0.3,600.0,880.0,0.7609270896184244,0.7600095587356733
292,0.3,600.0,890.0,0.7609270896184244,0.7600095587356733
293,0.3,600.0,900.0,0.7609270896184244,0.7600095587356733
294,0.3,600.0,910.0,0.7609270896184244,0.7600095587356733
295,0.3,600.0,920.0,0.7609270896184244,0.7600095587356733
296,0.3,600.0,930.0,0.7609270896184244,0.7600095587356733
